,type,precision,recall,f1-score,support
0,address,0.14428857715430862,0.36180904522613067,0.20630372492836677,199.0
1,affiliate,0.025,0.21428571428571427,0.04477611940298508,14.0
2,affiliation,0.9230769230769231,0.6,0.7272727272727274,40.0
3,age,0.9430431244914564,0.7726666666666666,0.8493953829241481,1500.0
4,album,0.2670940170940171,0.43252595155709345,0.33025099075297226,289.0
5,area,0.12345679012345678,0.3389830508474576,0.18099547511312217,59.0
6,artist,0.6819923371647509,0.42788461538461536,0.5258493353028065,416.0
7,birthDate,0.01639344262295082,0.2727272727272727,0.030927835051546393,11.0
8,birthPlace,0.3333333333333333,0.2,0.25,15.0
9,brand,0.2727272727272727,0.20689655172413793,0.23529411764705882,29.0
10,capacity,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
11,category,0.8963963963963963,0.5025252525252525,0.6440129449838187,792.0
12,city,0.587426326129666,0.5531914893617021,0.5697951405431159,1081.0
13,class,0.24923076923076923,0.5094339622641509,0.33471074380165283,318.0
14,classification,0.06306306306306306,0.4117647058823529,0.10937499999999999,17.0
15,club,0.9272727272727272,0.44541484716157204,0.6017699115044248,458.0
16,code,0.5363636363636364,0.5393053016453382,0.5378304466727438,547.0
17,collection,0.027649769585253458,0.3333333333333333,0.05106382978723405,18.0
18,command,0.3333333333333333,0.2727272727272727,0.3,11.0
19,company,0.8863636363636364,0.47706422018348627,0.6202783300198806,327.0
20,component,0.08666666666666667,0.34210526315789475,0.13829787234042554,38.0
21,continent,0.0,0.0,0.0,10.0
22,country,0.8305084745762712,0.5355191256830601,0.6511627906976744,366.0
23,county,0.22448979591836735,0.34108527131782945,0.27076923076923076,129.0
24,creator,0.012987012987012988,0.1111111111111111,0.023255813953488372,9.0
25,credit,0.46153846153846156,0.25,0.32432432432432434,24.0
26,currency,0.5263157894736842,0.5882352941176471,0.5555555555555555,17.0
27,day,0.8787878787878788,0.4603174603174603,0.6041666666666666,126.0
28,depth,0.12,0.35294117647058826,0.1791044776119403,17.0
29,description,0.8947804473902237,0.4734765453748356,0.6192660550458715,2281.0
30,director,0.0,0.0,0.0,4.0
31,duration,0.9278350515463918,0.6164383561643836,0.7407407407407407,146.0
32,education,0.07692307692307693,0.4,0.12903225806451613,10.0
33,elevation,0.65,0.26,0.37142857142857144,50.0
34,family,0.17647058823529413,0.2608695652173913,0.2105263157894737,23.0
35,fileSize,0.5897435897435898,0.4423076923076923,0.5054945054945056,52.0
36,format,0.7439024390243902,0.46564885496183206,0.5727699530516431,131.0
37,gender,0.5423728813559322,0.5765765765765766,0.5589519650655022,111.0
38,genre,0.17857142857142858,0.3225806451612903,0.2298850574712644,31.0
39,grades,0.6764705882352942,0.5897435897435898,0.6301369863013699,39.0
40,industry,0.5142857142857142,0.46153846153846156,0.48648648648648646,39.0
41,isbn,0.6567164179104478,0.4782608695652174,0.5534591194968554,92.0
42,jockey,0.4,0.4383561643835616,0.41830065359477125,73.0
43,language,0.5402298850574713,0.6103896103896104,0.573170731707317,77.0
44,location,0.8567251461988304,0.576204523107178,0.6890064667842445,1017.0
45,manufacturer,0.022099447513812154,0.2222222222222222,0.04020100502512563,36.0
46,name,0.8929695697796433,0.5360629921259843,0.6699468608541626,3175.0
47,nationality,0.002191380569758948,0.16666666666666666,0.004325883201153569,18.0
48,notes,0.7528089887640449,0.41358024691358025,0.5338645418326694,324.0
49,operator,0.007246376811594203,0.16666666666666666,0.013888888888888888,6.0
50,order,0.6842105263157895,0.24528301886792453,0.36111111111111105,53.0
51,organisation,0.0,0.0,0.0,3.0
52,origin,0.7714285714285715,0.5869565217391305,0.6666666666666667,46.0
53,owner,0.5,0.3170731707317073,0.38805970149253727,41.0
54,person,0.0,0.0,0.0,9.0
55,plays,0.8333333333333334,0.5319148936170213,0.6493506493506493,47.0
56,position,0.8085106382978723,0.5290023201856149,0.6395511921458626,431.0
57,product,0.11518324607329843,0.29333333333333333,0.16541353383458646,75.0
58,publisher,0.3220338983050847,0.4222222222222222,0.36538461538461536,45.0
59,range,0.07692307692307693,0.25,0.11764705882352941,8.0
60,rank,0.8898186889818689,0.6470588235294118,0.7492660011743982,986.0
61,ranking,0.010067114093959731,0.25,0.01935483870967742,12.0
62,region,0.6829268292682927,0.4,0.5045045045045045,70.0
63,religion,0.18518518518518517,0.8333333333333334,0.303030303030303,6.0
64,requirement,0.0,0.0,0.0,8.0
65,result,0.9493243243243243,0.667458432304038,0.7838214783821479,421.0
66,sales,0.023809523809523808,0.375,0.04477611940298507,8.0
67,service,0.9117647058823529,0.62,0.7380952380952381,50.0
68,sex,0.5652173913043478,0.40625,0.4727272727272727,64.0
69,species,0.08163265306122448,0.23529411764705882,0.12121212121212122,17.0
70,state,0.930783242258652,0.5703125,0.7072664359861591,896.0
71,status,0.591182364729459,0.608875128998968,0.5998983223182511,969.0
72,symbol,0.24476987447698745,0.5391705069124424,0.3366906474820144,217.0
73,team,0.8849397590361445,0.712760795730228,0.7895726955119591,2061.0
74,teamName,0.05693950177935943,0.5714285714285714,0.10355987055016179,56.0
75,type,0.8833510074231177,0.5520212060967529,0.6794453507340946,1509.0
76,weight,0.3744030563514804,0.6003062787136294,0.4611764705882353,653.0
77,year,0.6982182628062361,0.6023054755043228,0.6467251160391955,1041.0
78,accuracy,0.5586441233061776,0.5586441233061776,0.5586441233061776,0.5586441233061776
79,macro avg,0.4450121218293324,0.40836732063471476,0.38481506798791637,24427.0
80,weighted avg,0.7700993169541306,0.5586441233061776,0.6326838870071806,24427.0
