,type,precision,recall,f1-score,support
0,address,0.18501170960187355,0.3969849246231156,0.2523961661341853,199.0
1,affiliate,0.020618556701030927,0.14285714285714285,0.036036036036036036,14.0
2,affiliation,0.9354838709677419,0.725,0.8169014084507041,40.0
3,age,0.9431721798134012,0.7413333333333333,0.830160507652109,1500.0
4,album,0.23893805309734514,0.4671280276816609,0.3161592505854801,289.0
5,area,0.13580246913580246,0.3728813559322034,0.19909502262443435,59.0
6,artist,0.6834532374100719,0.4567307692307692,0.547550432276657,416.0
7,birthDate,0.041884816753926704,0.7272727272727273,0.07920792079207921,11.0
8,birthPlace,0.0,0.0,0.0,15.0
9,brand,0.30434782608695654,0.2413793103448276,0.2692307692307692,29.0
10,capacity,0.0,0.0,0.0,13.0
11,category,0.9088729016786571,0.47853535353535354,0.6269644334160464,792.0
12,city,0.5807067812798472,0.5624421831637373,0.5714285714285714,1081.0
13,class,0.25358166189111747,0.5566037735849056,0.3484251968503937,318.0
14,classification,0.09411764705882353,0.47058823529411764,0.1568627450980392,17.0
15,club,0.9593908629441624,0.4126637554585153,0.5770992366412214,458.0
16,code,0.6601941747572816,0.870201096892139,0.750788643533123,547.0
17,collection,0.1794871794871795,0.3888888888888889,0.24561403508771928,18.0
18,command,0.4,0.36363636363636365,0.380952380952381,11.0
19,company,0.8937007874015748,0.6941896024464832,0.7814113597246126,327.0
20,component,0.16483516483516483,0.39473684210526316,0.23255813953488372,38.0
21,continent,0.0,0.0,0.0,10.0
22,country,0.8478260869565217,0.5327868852459017,0.6543624161073825,366.0
23,county,0.28865979381443296,0.43410852713178294,0.3467492260061919,129.0
24,creator,0.0,0.0,0.0,9.0
25,credit,0.6,0.25,0.35294117647058826,24.0
26,currency,0.3888888888888889,0.4117647058823529,0.39999999999999997,17.0
27,day,0.8421052631578947,0.38095238095238093,0.5245901639344263,126.0
28,depth,0.15,0.5294117647058824,0.23376623376623373,17.0
29,description,0.9078947368421053,0.3932485751863218,0.5487916794126644,2281.0
30,director,0.0,0.0,0.0,4.0
31,duration,0.8904109589041096,0.8904109589041096,0.8904109589041096,146.0
32,education,0.625,0.5,0.5555555555555556,10.0
33,elevation,0.6666666666666666,0.2,0.30769230769230765,50.0
34,family,0.275,0.4782608695652174,0.34920634920634924,23.0
35,fileSize,0.7727272727272727,0.3269230769230769,0.45945945945945943,52.0
36,format,0.6923076923076923,0.48091603053435117,0.5675675675675675,131.0
37,gender,0.5344827586206896,0.5585585585585585,0.5462555066079294,111.0
38,genre,0.23943661971830985,0.5483870967741935,0.3333333333333333,31.0
39,grades,0.7619047619047619,0.8205128205128205,0.7901234567901233,39.0
40,industry,0.8571428571428571,0.7692307692307693,0.8108108108108107,39.0
41,isbn,0.803030303030303,0.5760869565217391,0.6708860759493671,92.0
42,jockey,0.44594594594594594,0.4520547945205479,0.4489795918367347,73.0
43,language,0.6190476190476191,0.6753246753246753,0.6459627329192547,77.0
44,location,0.8440860215053764,0.6175024582104228,0.7132311186825668,1017.0
45,manufacturer,0.038348082595870206,0.3611111111111111,0.06933333333333333,36.0
46,name,0.8781491002570694,0.5379527559055118,0.6671875,3175.0
47,nationality,0.0023584905660377358,0.16666666666666666,0.004651162790697674,18.0
48,notes,0.6478149100257069,0.7777777777777778,0.7068723702664796,324.0
49,operator,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
50,order,0.8333333333333334,0.5660377358490566,0.6741573033707865,53.0
51,organisation,0.0,0.0,0.0,3.0
52,origin,0.8888888888888888,0.6956521739130435,0.7804878048780488,46.0
53,owner,0.7333333333333333,0.2682926829268293,0.3928571428571429,41.0
54,person,0.0,0.0,0.0,9.0
55,plays,0.6666666666666666,0.3404255319148936,0.4507042253521127,47.0
56,position,0.7823834196891192,0.3503480278422274,0.48397435897435903,431.0
57,product,0.09871244635193133,0.30666666666666664,0.14935064935064934,75.0
58,publisher,0.36923076923076925,0.5333333333333333,0.43636363636363634,45.0
59,range,0.0,0.0,0.0,8.0
60,rank,0.8593903638151426,0.8864097363083164,0.872690963554668,986.0
61,ranking,0.0,0.0,0.0,12.0
62,region,0.7941176470588235,0.38571428571428573,0.5192307692307693,70.0
63,religion,0.20689655172413793,1.0,0.34285714285714286,6.0
64,requirement,0.0,0.0,0.0,8.0
65,result,0.9267139479905437,0.9311163895486936,0.928909952606635,421.0
66,sales,0.0,0.0,0.0,8.0
67,service,1.0,0.72,0.8372093023255813,50.0
68,sex,0.6129032258064516,0.296875,0.39999999999999997,64.0
69,species,0.12727272727272726,0.4117647058823529,0.19444444444444442,17.0
70,state,0.9277899343544858,0.4732142857142857,0.6267553584626755,896.0
71,status,0.552073732718894,0.6181630546955624,0.5832521908471276,969.0
72,symbol,0.15521628498727735,0.28110599078341014,0.2,217.0
73,team,0.8309561542525092,0.7632217370208637,0.7956499747091552,2061.0
74,teamName,0.054466230936819175,0.44642857142857145,0.0970873786407767,56.0
75,type,0.8672945205479452,0.6713055003313453,0.7568173328352634,1509.0
76,weight,0.5737704918032787,0.8039816232771823,0.6696428571428572,653.0
77,year,0.8502415458937198,0.6762728146013448,0.7533440342429106,1041.0
78,accuracy,0.5970442543087567,0.5970442543087567,0.5970442543087567,0.5970442543087567
79,macro avg,0.47753615719895154,0.44521795406213655,0.42032783831694703,24427.0
80,weighted avg,0.7767105372860296,0.5970442543087567,0.6535713641061043,24427.0
