,type,precision,recall,f1-score,support
0,address,0.6618357487922706,0.6884422110552764,0.6748768472906405,199.0
1,affiliate,0.05555555555555555,0.07142857142857142,0.0625,14.0
2,affiliation,0.7272727272727273,0.8,0.761904761904762,40.0
3,age,0.9353363814500326,0.9546666666666667,0.9449026723853514,1500.0
4,album,0.5031055900621118,0.5605536332179931,0.5302782324058919,289.0
5,area,0.631578947368421,0.4067796610169492,0.4948453608247423,59.0
6,artist,0.6461538461538462,0.6057692307692307,0.6253101736972704,416.0
7,birthDate,0.24,0.5454545454545454,0.3333333333333333,11.0
8,birthPlace,0.24,0.4,0.3,15.0
9,brand,0.3333333333333333,0.3793103448275862,0.3548387096774193,29.0
10,capacity,0.1875,0.23076923076923078,0.20689655172413793,13.0
11,category,0.8658536585365854,0.8068181818181818,0.8352941176470587,792.0
12,city,0.820536540240518,0.820536540240518,0.820536540240518,1081.0
13,class,0.5614973262032086,0.660377358490566,0.606936416184971,318.0
14,classification,0.2222222222222222,0.23529411764705882,0.22857142857142856,17.0
15,club,0.8169642857142857,0.7991266375545851,0.8079470198675496,458.0
16,code,0.9047619047619048,0.8683729433272395,0.8861940298507462,547.0
17,collection,0.26666666666666666,0.4444444444444444,0.33333333333333337,18.0
18,command,0.06451612903225806,0.18181818181818182,0.09523809523809523,11.0
19,company,0.7932203389830509,0.7155963302752294,0.7524115755627011,327.0
20,component,0.375,0.23684210526315788,0.2903225806451613,38.0
21,continent,0.13636363636363635,0.3,0.18749999999999997,10.0
22,country,0.7448453608247423,0.7896174863387978,0.7665782493368699,366.0
23,county,0.6446280991735537,0.6046511627906976,0.624,129.0
24,creator,0.36363636363636365,0.4444444444444444,0.39999999999999997,9.0
25,credit,0.17647058823529413,0.25,0.20689655172413793,24.0
26,currency,0.5185185185185185,0.8235294117647058,0.6363636363636364,17.0
27,day,0.8504672897196262,0.7222222222222222,0.7811158798283261,126.0
28,depth,0.3225806451612903,0.5882352941176471,0.41666666666666663,17.0
29,description,0.8907236522583779,0.8040333187198597,0.8451612903225806,2281.0
30,director,0.0,0.0,0.0,4.0
31,duration,0.8115942028985508,0.7671232876712328,0.7887323943661971,146.0
32,education,0.47368421052631576,0.9,0.6206896551724138,10.0
33,elevation,0.6346153846153846,0.66,0.6470588235294118,50.0
34,family,0.4782608695652174,0.4782608695652174,0.4782608695652174,23.0
35,fileSize,0.5166666666666667,0.5961538461538461,0.5535714285714286,52.0
36,format,0.8048780487804879,0.7557251908396947,0.7795275590551182,131.0
37,gender,0.7846153846153846,0.918918918918919,0.8464730290456431,111.0
38,genre,0.33962264150943394,0.5806451612903226,0.42857142857142855,31.0
39,grades,0.64,0.8205128205128205,0.7191011235955057,39.0
40,industry,0.6551724137931034,0.9743589743589743,0.7835051546391754,39.0
41,isbn,0.6788990825688074,0.8043478260869565,0.7363184079601991,92.0
42,jockey,0.5616438356164384,0.5616438356164384,0.5616438356164384,73.0
43,language,0.632183908045977,0.7142857142857143,0.6707317073170731,77.0
44,location,0.8293991416309013,0.76007866273353,0.793227296049256,1017.0
45,manufacturer,0.5,0.25,0.3333333333333333,36.0
46,name,0.8208909370199693,0.8415748031496063,0.8311041990668742,3175.0
47,nationality,0.24324324324324326,0.5,0.3272727272727273,18.0
48,notes,0.6131805157593123,0.6604938271604939,0.635958395245171,324.0
49,operator,0.08333333333333333,0.16666666666666666,0.1111111111111111,6.0
50,order,0.625,0.5660377358490566,0.594059405940594,53.0
51,organisation,0.2727272727272727,1.0,0.42857142857142855,3.0
52,origin,0.71875,0.5,0.5897435897435898,46.0
53,owner,0.625,0.4878048780487805,0.547945205479452,41.0
54,person,0.0625,0.1111111111111111,0.08,9.0
55,plays,0.4716981132075472,0.5319148936170213,0.4999999999999999,47.0
56,position,0.8,0.6867749419953596,0.7390761548064919,431.0
57,product,0.38,0.25333333333333335,0.30400000000000005,75.0
58,publisher,0.49056603773584906,0.5777777777777777,0.5306122448979591,45.0
59,range,0.17391304347826086,0.5,0.25806451612903225,8.0
60,rank,0.8181818181818182,0.8397565922920892,0.8288288288288289,986.0
61,ranking,0.0,0.0,0.0,12.0
62,region,0.8529411764705882,0.4142857142857143,0.5576923076923077,70.0
63,religion,0.2222222222222222,1.0,0.3636363636363636,6.0
64,requirement,0.0,0.0,0.0,8.0
65,result,0.8658536585365854,0.8432304038004751,0.8543922984356197,421.0
66,sales,0.16666666666666666,0.125,0.14285714285714288,8.0
67,service,0.6086956521739131,0.84,0.7058823529411766,50.0
68,sex,0.7761194029850746,0.8125,0.7938931297709924,64.0
69,species,0.10344827586206896,0.17647058823529413,0.13043478260869565,17.0
70,state,0.9015063731170336,0.8683035714285714,0.8845935190449118,896.0
71,status,0.8796680497925311,0.8751289989680082,0.8773926539058458,969.0
72,symbol,0.8195121951219512,0.7741935483870968,0.7962085308056871,217.0
73,team,0.8454243717401612,0.8651140223192625,0.8551558752997602,2061.0
74,teamName,0.5882352941176471,0.5357142857142857,0.5607476635514018,56.0
75,type,0.8336633663366336,0.8369781312127237,0.8353174603174602,1509.0
76,weight,0.8961988304093568,0.9387442572741195,0.9169783096484668,653.0
77,year,0.9341603053435115,0.9404418828049952,0.9372905696505505,1041.0
78,accuracy,0.8100462602857493,0.8100462602857493,0.8100462602857493,0.8100462602857493
79,macro avg,0.5427651449058413,0.5942377096147319,0.552183600875318,24427.0
80,weighted avg,0.8180325630846371,0.8100462602857493,0.812402984332171,24427.0
