,type,precision,recall,f1-score,support
0,address,0.6296296296296297,0.6834170854271356,0.6554216867469879,199.0
1,affiliate,0.0,0.0,0.0,14.0
2,affiliation,0.6888888888888889,0.775,0.7294117647058822,40.0
3,age,0.915483870967742,0.946,0.9304918032786885,1500.0
4,album,0.4910394265232975,0.4740484429065744,0.4823943661971831,289.0
5,area,0.6666666666666666,0.3728813559322034,0.47826086956521735,59.0
6,artist,0.572538860103627,0.53125,0.5511221945137157,416.0
7,birthDate,0.22580645161290322,0.6363636363636364,0.3333333333333333,11.0
8,birthPlace,0.1111111111111111,0.13333333333333333,0.1212121212121212,15.0
9,brand,0.375,0.10344827586206896,0.16216216216216217,29.0
10,capacity,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
11,category,0.7764277035236938,0.8068181818181818,0.7913312693498452,792.0
12,city,0.7747105966162066,0.8048103607770583,0.7894736842105263,1081.0
13,class,0.508557457212714,0.6540880503144654,0.5722145804676754,318.0
14,classification,0.18181818181818182,0.11764705882352941,0.14285714285714285,17.0
15,club,0.8321342925659473,0.75764192139738,0.7931428571428571,458.0
16,code,0.8789571694599627,0.8628884826325411,0.8708487084870848,547.0
17,collection,0.2222222222222222,0.2222222222222222,0.2222222222222222,18.0
18,command,0.08333333333333333,0.18181818181818182,0.1142857142857143,11.0
19,company,0.7733333333333333,0.709480122324159,0.7400318979266347,327.0
20,component,0.23529411764705882,0.10526315789473684,0.14545454545454545,38.0
21,continent,0.19230769230769232,0.5,0.2777777777777778,10.0
22,country,0.7357954545454546,0.7076502732240437,0.7214484679665738,366.0
23,county,0.6617647058823529,0.6976744186046512,0.6792452830188679,129.0
24,creator,0.0,0.0,0.0,9.0
25,credit,0.3333333333333333,0.16666666666666666,0.2222222222222222,24.0
26,currency,0.6,0.5294117647058824,0.5625,17.0
27,day,0.8723404255319149,0.6507936507936508,0.7454545454545455,126.0
28,depth,0.38095238095238093,0.47058823529411764,0.42105263157894735,17.0
29,description,0.8966942148760331,0.7610697062691801,0.8233341237846812,2281.0
30,director,0.0,0.0,0.0,4.0
31,duration,0.8559322033898306,0.6917808219178082,0.7651515151515151,146.0
32,education,0.375,0.6,0.4615384615384615,10.0
33,elevation,0.8205128205128205,0.64,0.7191011235955057,50.0
34,family,0.5,0.5217391304347826,0.5106382978723404,23.0
35,fileSize,0.5,0.21153846153846154,0.29729729729729726,52.0
36,format,0.8373983739837398,0.7862595419847328,0.811023622047244,131.0
37,gender,0.8632478632478633,0.9099099099099099,0.8859649122807018,111.0
38,genre,0.3333333333333333,0.3548387096774194,0.34375,31.0
39,grades,0.5172413793103449,0.7692307692307693,0.6185567010309279,39.0
40,industry,0.6666666666666666,0.9743589743589743,0.7916666666666666,39.0
41,isbn,0.7156862745098039,0.7934782608695652,0.7525773195876289,92.0
42,jockey,0.4603174603174603,0.3972602739726027,0.4264705882352941,73.0
43,language,0.6351351351351351,0.6103896103896104,0.6225165562913907,77.0
44,location,0.8028322440087146,0.7246804326450345,0.7617571059431525,1017.0
45,manufacturer,0.38095238095238093,0.2222222222222222,0.2807017543859649,36.0
46,name,0.7899529964747356,0.8469291338582677,0.8174494604043167,3175.0
47,nationality,0.0625,0.05555555555555555,0.058823529411764705,18.0
48,notes,0.453125,0.6265432098765432,0.5259067357512954,324.0
49,operator,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
50,order,0.7027027027027027,0.49056603773584906,0.5777777777777777,53.0
51,organisation,0.5,1.0,0.6666666666666666,3.0
52,origin,0.6363636363636364,0.45652173913043476,0.5316455696202532,46.0
53,owner,0.4,0.0975609756097561,0.15686274509803924,41.0
54,person,0.0,0.0,0.0,9.0
55,plays,0.5357142857142857,0.3191489361702128,0.4,47.0
56,position,0.6974789915966386,0.5777262180974478,0.6319796954314721,431.0
57,product,0.38461538461538464,0.13333333333333333,0.19801980198019803,75.0
58,publisher,0.696969696969697,0.5111111111111111,0.5897435897435898,45.0
59,range,0.2727272727272727,0.375,0.3157894736842105,8.0
60,rank,0.7324675324675325,0.8580121703853956,0.7902849135917795,986.0
61,ranking,0.0,0.0,0.0,12.0
62,region,0.5849056603773585,0.44285714285714284,0.5040650406504066,70.0
63,religion,0.375,1.0,0.5454545454545454,6.0
64,requirement,0.0,0.0,0.0,8.0
65,result,0.8324873096446701,0.7790973871733967,0.8049079754601226,421.0
66,sales,0.0,0.0,0.0,8.0
67,service,0.7692307692307693,0.8,0.7843137254901961,50.0
68,sex,0.7466666666666667,0.875,0.8057553956834532,64.0
69,species,0.06666666666666667,0.058823529411764705,0.0625,17.0
70,state,0.9019370460048426,0.8314732142857143,0.8652729384436703,896.0
71,status,0.8924843423799582,0.8823529411764706,0.8873897249610794,969.0
72,symbol,0.8434343434343434,0.7695852534562212,0.8048192771084337,217.0
73,team,0.7721410146173688,0.871421639980592,0.818782767266925,2061.0
74,teamName,0.2857142857142857,0.14285714285714285,0.19047619047619047,56.0
75,type,0.7911392405063291,0.828363154406892,0.809323405632891,1509.0
76,weight,0.939935064935065,0.886676875957121,0.9125295508274232,653.0
77,year,0.9495635305528612,0.9404418828049952,0.944980694980695,1041.0
78,accuracy,0.7870798706349531,0.7870798706349531,0.7870798706349531,0.7870798706349531
79,macro avg,0.5224858571022128,0.5162885901715205,0.5045109141815757,24427.0
80,weighted avg,0.7894873431536591,0.7870798706349531,0.7850148202444238,24427.0
